,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
2473,2473,47119,Aft Senoko Way,1.4664610498092698,103.81068004378777,Senoko Ave,SEMBAWANG
2474,2474,47121,Opp Lian Aik Siong Machinery,1.4637132491473202,103.80278498662895,Senoko Rd,SEMBAWANG
2475,2475,47129,Lian Aik Siong Machinery,1.46369329324947,103.8029823843495,Senoko Rd,SEMBAWANG
2476,2476,47131,Fuji Oil S'Pore,1.46664224303828,103.80222436305642,Senoko Rd,SEMBAWANG
2477,2477,47141,Bef Sc Auto,1.4675695884883502,103.80367776966507,Senoko Rd,SEMBAWANG
2478,2478,47151,Aft Scania S'Pore,1.46627333237122,103.80397260190183,Senoko Rd,SEMBAWANG
2479,2479,47169,CHUAN LIM CONSTRN,1.46092504799029,103.80059733131965,Senoko Dr,SEMBAWANG
2480,2480,47179,Comfortdelgro Engrg,1.4582842483117602,103.79880737870577,Senoko Loop,SEMBAWANG
2481,2481,47189,K.U.S. Holdings,1.45900316740952,103.80129287195831,Senoko Loop,SEMBAWANG
2482,2482,47199,Bef Senoko Dr,1.4612358361056599,103.80266128022876,Senoko Loop,SEMBAWANG
2483,2483,47201,W'lands Nth Stn,1.448472,103.7848997,Nth Woodlands Dr,WOODLANDS
2484,2484,47491,TWIN FOUNTAINS,1.431021111,103.8004889,Woodlands Ave 6,WOODLANDS
2485,2485,47499,OPP TWIN FOUNTAINS,1.4307738890000001,103.80060809999999,Woodlands Ave 6,WOODLANDS
2486,2486,47501,Opp Blk 583,1.43046208317462,103.79470229416464,Woodlands Dr 16,WOODLANDS
2487,2487,47509,BLK 583,1.4303311109999999,103.7948411,Woodlands Dr 16,WOODLANDS
2488,2488,47511,Blk 554,1.4319035458350802,103.79644777764182,Woodlands Dr 16,WOODLANDS
2489,2489,47521,Opp Blk 575,1.43165346145517,103.79813585749302,Woodlands Dr 16,WOODLANDS
2490,2490,47529,BLK 573A,1.431536111,103.7981161,Woodlands Dr 16,WOODLANDS
2491,2491,47539,Opp Woodgrove Sec Sch,1.4287055520168799,103.79766275675344,Woodlands Ave 6,WOODLANDS
2492,2492,47541,Blk 639,1.4378920193750102,103.80334162830195,Woodlands Ave 6,WOODLANDS
2493,2493,47549,Opp Blk 639,1.4379048516894999,103.80352352573782,Woodlands Ave 6,WOODLANDS
2494,2494,47551,Blk 630,1.43472623786722,103.8018875523328,Woodlands Ave 6,WOODLANDS
2495,2495,47559,Opp Blk 630,1.4346125448530802,103.80204564158957,Woodlands Ave 6,WOODLANDS
2496,2496,47561,Blk 620,1.4332082012469798,103.79885163626874,Woodlands Ave 5,WOODLANDS
2497,2497,47569,Opp Blk 620,1.4329194553475901,103.7987803897484,Woodlands Ave 5,WOODLANDS
2498,2498,47571,Blk 618,1.4334902405191898,103.79639715585556,Woodlands Ave 5,WOODLANDS
2499,2499,47579,Blk 556,1.4333134741951998,103.79597019770507,Woodlands Ave 5,WOODLANDS
2500,2500,47581,Opp Blk 521,1.43464494959345,103.79352674536877,Woodlands Ave 5,WOODLANDS
2501,2501,47589,Blk 519A CP,1.43479106906247,103.7925444431126,Woodlands Ave 5,WOODLANDS
2502,2502,47591,Bef Admiralty Stn/Blk 680,1.4397387269362398,103.8025081158021,Woodlands Ave 6,WOODLANDS
2503,2503,47599,Blk 683A,1.4399264222861998,103.80263149734922,Woodlands Ave 6,WOODLANDS
2504,2504,47601,Blk 793,1.44211880036977,103.80304911976371,Woodlands Ave 7,WOODLANDS
2505,2505,47609,Opp Blk 793,1.4418494178268502,103.80309468577371,Woodlands Ave 7,WOODLANDS
2506,2506,47611,Woodsvale Condo,1.4438870617351698,103.80622284389756,Woodlands Ave 7,WOODLANDS
2507,2507,47619,Opp Woodsvale Condo,1.44430697551185,103.80713784459923,Woodlands Ave 7,WOODLANDS
2508,2508,47621,Aft Gambas Ave,1.4468921811945301,103.80982770058664,Woodlands Ave 7,SEMBAWANG
2509,2509,47629,Seagate,1.44667808186871,103.80985736845513,Woodlands Ave 7,SEMBAWANG
2510,2510,47641,Blk 681A,1.43923143369845,103.80372860775078,Woodlands Dr 62,WOODLANDS
2511,2511,47649,Opp Blk 681B,1.43909453192901,103.8036760000029,Woodlands Dr 62,WOODLANDS
2512,2512,47651,Blk 684B,1.4416971090803001,103.80525516994506,Woodlands Dr 73,WOODLANDS
2513,2513,47659,Blk 685A,1.4414634989333701,103.80545909188204,Woodlands Dr 73,WOODLANDS
2514,2514,47661,Blk 788E,1.44445189092675,103.80275437815418,Woodlands Cres,WOODLANDS
2515,2515,47671,Opp Admiralty Sec Sch,1.4465629999999998,103.803336,Woodlands Cres,WOODLANDS
2516,2516,47681,Woodsvale Condo,1.44457845619804,103.80448623998072,Woodlands Cres,WOODLANDS
2517,2517,47711,JB Sentral Bus Ter,1.4634583411256499,103.76442341207212,Jln Jim Quee,invalid
2518,2518,47751,Blk 691D,1.3769559999999998,103.867019,Upp Thomson Rd,SERANGOON
2519,2519,47759,Blk 694C,1.38232,103.844173,Woodlands Dr 62,ANG MO KIO
2520,2520,47801,Sunshine Bakery,1.46417400978934,103.81298347775379,Admiralty Rd West,SEMBAWANG
2521,2521,47809,Opp Sunshine Bakery,1.46379183832972,103.813587498325,Admiralty Rd West,SEMBAWANG
2522,2522,47811,W'Lands Sunny Food,1.4623769225129097,103.80898707919847,Admiralty Rd West,SEMBAWANG
2523,2523,47819,Opp W'Lands Sunny Food,1.4625580134543001,103.81005089658552,Admiralty Rd West,SEMBAWANG
2524,2524,47821,Opp Sumitomo Bakelite S'pore,1.4607771768418798,103.80582927631107,Admiralty Rd West,SEMBAWANG
2525,2525,47829,Sumitomo Bakelite S'pore,1.46054631909982,103.80617388921057,Admiralty Rd West,SEMBAWANG
2526,2526,48009,Bt Panjang Temp Bus Pk,1.38376399998384,103.7582999999956,Woodlands Rd,CHOA CHU KANG
2527,2527,48011,Opp Mandai Camp 2,1.4105360569245202,103.77449402303928,Mandai Rd,MANDAI
2528,2528,48019,Mandai Camp 2,1.4104789032488603,103.77547240613428,Mandai Rd,CENTRAL WATER CATCHMENT
2529,2529,48021,Aft Mandai Lake Rd,1.4109193571942198,103.7794566466511,Mandai Rd,MANDAI
2530,2530,48029,Bef Mandai Lake Rd,1.41056509187543,103.77968553987141,Mandai Rd,CENTRAL WATER CATCHMENT
2531,2531,48031,LP 162,1.41109191008995,103.78316982719808,Mandai Rd,MANDAI
2532,2532,48039,LP 159,1.41075606597918,103.78320916874394,Mandai Rd,CENTRAL WATER CATCHMENT
2533,2533,48041,Aft Jln Ulu Sembawang,1.4126831752950302,103.78892108182363,Mandai Rd,MANDAI
2534,2534,48049,Bef Jln Ulu Sembawang,1.41239185628293,103.78930383598242,Mandai Rd,CENTRAL WATER CATCHMENT
2535,2535,48051,Mandai Agrotech Pk,1.4152938185780701,103.79737495337395,Mandai Rd,MANDAI
2536,2536,48059,Opp Mandai Agrotech Pk,1.4150210915562702,103.79763214717948,Mandai Rd,CENTRAL WATER CATCHMENT
2537,2537,48061,Bef Mandai Ave,1.41583154711836,103.80385151827095,Mandai Rd,MANDAI
2538,2538,48069,Aft Mandai Ave,1.41601156056508,103.80203473964005,Mandai Rd,CENTRAL WATER CATCHMENT
2539,2539,48071,Mandai Crematorium,1.41176331480418,103.80578610823427,Mandai Rd,CENTRAL WATER CATCHMENT
2540,2540,48079,Opp Mandai Crematorium,1.41314885322808,103.80529445672701,Mandai Rd,CENTRAL WATER CATCHMENT
2541,2541,48081,Opp Upp Seletar Reservoir,1.4054213754882698,103.80892543786543,Mandai Rd,CENTRAL WATER CATCHMENT
2542,2542,48089,Upp Seletar Reservoir,1.40560991243809,103.80795339830529,Mandai Rd,CENTRAL WATER CATCHMENT
2543,2543,48091,SCDF Nee Soon Camp,1.40274777797647,103.81238027797018,Mandai Rd,YISHUN
2544,2544,48099,Opp SCDF Nee Soon Camp,1.4029276207033998,103.81200115976088,Mandai Rd,YISHUN
2545,2545,48101,Aft Meng Suan Rd,1.4024103860869899,103.81439973574913,Mandai Rd,YISHUN
2546,2546,48109,Opp Meng Suan Rd,1.40220535791866,103.81401491687515,Mandai Rd,YISHUN
2547,2547,48111,Aft Mandai Rd,1.40944188012509,103.77966346202636,Mandai Lake Rd,CENTRAL WATER CATCHMENT
