,BusStopCode,Description,Latitude,Longitude,RoadName
1716,34041,B03 Lim Chu Kang Rd,1.43886508618445,103.70790669860943,Lim Chu Kang Rd
1717,34049,Aft Lim Chu Kang Lane 8,1.43837406233239,103.70802408979871,Lim Chu Kang Rd
1718,34051,Aft Lim Chu Kang Lane 8,1.4427555864767,103.70775406469974,Lim Chu Kang Rd
1719,34059,Yishun Dairy Farm,1.44234338763128,103.7078689605441,Lim Chu Kang Rd
1720,34101,Aft Old Lim Chu Kang Rd,1.38440683002823,103.69790380001842,Lor Rusuk
1721,34109,Aft Lim Chu Kang Rd,1.38430083002772,103.69811219997105,Lor Rusuk
1722,40011,LITTLE INDIA STN EXIT A,1.30606411522588,103.84908751469008,Bt Timah Rd
1723,40019,Little India Stn,1.30664404460339,103.84920416709382,Bt Timah Rd
1724,40021,BEF WINSTEDT RD,1.311033889,103.8427911,Bt Timah Rd
1725,40029,Aft Makepeace Rd,1.31142305600915,103.84265999998345,Bt Timah Rd
1726,40031,Newton FC,1.31178509472011,103.84098359641321,Bt Timah Rd
1727,40039,Opp Newton FC,1.31230305602353,103.8407255559936,Bt Timah Rd
1728,40041,Newton Stn Exit C,1.3137222313328,103.83809742560602,Bt Timah Rd
1729,40049,Opp Newton Stn Exit C,1.31402305600959,103.83884638900086,Dunearn Rd
1730,40051,Balmoral Plaza,1.31588,103.83632,Bt Timah Rd
1731,40059,Chancery Ct,1.31662138896806,103.83634361100417,Dunearn Rd
1732,40069,Anglo-Chinese Sch,1.31830398893217,103.83435129198834,Dunearn Rd
1733,40071,Leng Kwang Baptist Ch,1.31918027796911,103.829213610999,Bt Timah Rd
1734,40079,Bef Swiss Cottage Est,1.3197216415795,103.8299145659947,Dunearn Rd
1735,40081,Stevens Stn,1.32012951912406,103.82605259642706,Bt Timah Rd
1736,40089,Opp Stevens Stn,1.320510556,103.8273903,Dunearn Rd
1737,40091,Bef Lewis Rd,1.32101807290903,103.82350944419166,Bt Timah Rd
1738,40099,Aft Dunkirk Ave,1.32185235205471,103.82344007494515,Dunearn Rd
1739,40101,KK Women & Child Hosp,1.31036186651665,103.84779148902439,Kg Java Rd
1740,40109,Opp KK Women & Child Hosp,1.30949131269895,103.84770747833439,Kg Java Rd
1741,40111,City Twrs,1.31806499998598,103.83262555597635,Bt Timah Rd
1742,40119,Bef Goldhill Ave,1.31889734253426,103.83249521257974,Dunearn Rd
1743,40121,Opp Newton Life Ch,1.31458164930261,103.84053190286843,Newton Rd
1744,40129,Newton Life Ch,1.31453779264106,103.84082845008946,Newton Rd
1745,40171,Opp Env Bldg,1.3109517198906,103.83582101192815,Scotts Rd
1746,40179,Env Bldg,1.31133173990881,103.83686949960516,Scotts Rd
1747,40181,Newton Stn Exit A,1.31243561231028,103.83798341278676,Scotts Rd
1748,40189,Newton Stn Exit B,1.31223181292182,103.83816095637219,Scotts Rd
1749,40191,Aft Draycott Pk,1.31268555601325,103.8304269440197,Stevens Rd
1750,40199,Aft Balmoral Rd,1.31258333303153,103.83191222199584,Stevens Rd
1751,40201,Chelsea Gdns Condo,1.31358972201496,103.82743055599407,Stevens Rd
1752,40209,NOVOTEL MERCURE @ STEVENS,1.31388805600649,103.82738777802837,Stevens Rd
1753,40211,Opp Met YMCA,1.31655331624558,103.825862990405,Stevens Rd
1754,40219,Bef Met YMCA,1.31703698010115,103.82605954338264,Stevens Rd
1755,40221,Opp Stevens Stn,1.31902531287493,103.82545561296305,Stevens Rd
1756,40229,Aft Stevens Stn,1.31980673102836,103.82570665178494,Stevens Rd
1757,40231,Raffles Town Club,1.32230868317131,103.82577145824762,Whitley Rd
1758,40239,Aft Tanglin CC,1.322585278,103.8262153,Whitley Rd
1759,40249,St. Joseph'S Instn,1.3249247219882,103.82735055603025,Whitley Rd
1760,40251,Aft Wallace Way,1.34054275997605,103.82231128179984,Lornie Rd
1761,40259,Bef Wallace Way,1.34031250739109,103.82256277806692,Lornie Rd
1762,40261,LP 52,1.34130384192273,103.82706642150467,Lornie Rd
1763,40269,LP 57,1.34105638903249,103.82660805601813,Lornie Rd
1764,40271,Opp KK Women & Child Hosp,1.30880664936794,103.8463464537845,Bt Timah Rd
1765,40279,KK Women & Child Hosp,1.30981925741503,103.8460393043403,Bt Timah Rd
1766,40301,Blk 451A,1.35332581027753,103.74287381027882,Bt Batok West Ave 6
1767,40309,Opp Blk 451A,1.35367643079374,103.74299081028306,Bt Batok West Ave 6
1768,40311,Blk 439C,1.35730456918268,103.73890781029746,Bt Batok West Ave 6
1769,40321,Dulwich College,1.35174487949103,103.73947152056856,Bt Batok West Ave 8
1770,40329,Millennia Institute,1.35096917519706,103.73961904709157,Bt Batok West Ave 8
1771,40339,Blk 448B,1.35347432348291,103.74087652056193,Bukit Batok West Avenue 9
1772,40341,Bef Blk 440A,1.3546236109849,103.73889587967264,Bt Batok West Ave 8
1773,40349,Blk 461,1.35497444398167,103.73939913984925,Bt Batok West Ave 8
1774,40351,Blk 461C,1.35499656917814,103.7410021897397,Bt Batok West Ave 6
1775,40359,Opp Blk 461C,1.35540218970451,103.74090581028908,Bt Batok West Ave 6
1776,40361,Blk 438A,1.35715418971956,103.74085618975258,Bt Batok West Ave 8
1777,40369,Opp Blk 438A,1.3576342194572,103.74139552039492,Bt Batok West Ave 8
1778,40371,OPP BLK 465A,1.35813308018627,103.74305344718294,Bt Batok West Ave 5
1779,40379,Blk 467 Cp,1.35754268986546,103.74357270089524,Bt Batok West Ave 5
1780,41011,NUS Bt Timah Campus,1.32235611101422,103.81891666700089,Bt Timah Rd
1781,41019,Aft Kheam Hock Rd,1.32267444098276,103.82025232877241,Dunearn Rd
1782,41021,Botanic Gdns Stn,1.32264999998361,103.81554000003177,Bt Timah Rd
1783,41029,Opp Botanic Gdns Stn,1.32333331915013,103.81630566925632,Dunearn Rd
1784,41031,Bef Crown Ctr,1.3230683576264,103.811977237669,Bt Timah Rd
1785,41041,Coronation Plaza,1.32398472197176,103.8102991670086,Bt Timah Rd
1786,41049,Opp Coronation Plaza,1.32469500003392,103.81026249997407,Dunearn Rd
1787,41051,Tan Kah Kee Stn,1.32612500001248,103.80715333299845,Bt Timah Rd
1788,41061,Chinese High Sch,1.32705333303352,103.80572472199289,Bt Timah Rd
1789,41069,Opp Tan Kah Kee Stn,1.32652777798065,103.80758583296918,Dunearn Rd
1790,41071,Opp Natl JC,1.328988333013,103.80266277802423,Bt Timah Rd
1791,41079,Natl JC,1.32940305598521,103.80304777797754,Dunearn Rd
1792,41081,Sixth Ave Stn,1.33082323351422,103.79727250094409,Bt Timah Rd
1793,41089,Aft Jln Naga Sari,1.33044921085796,103.79993319513187,Dunearn Rd
